"","year","annual_deficit_percent_gdp","ibm_ratio","sour_cream_consumption","deaths_by_lightning","ice_cream","deaths_by_falling_from_trees","marriage_rate_in_hawaii","coffee_consumption_in_half_gallons","honey_produced_per_colony_in_lbs","Dow_Jones_beginning_price","Dow_Jones_ending_price","Dow_Jones_gain_or_loss","Dow_Jones_percent_gain_or_loss","NASDAQ_beginning_price","NASDAQ_ending_price","NASDAQ_gain_or_loss","NASDAQ_percent_gain_or_loss","SP500_beginning_price","SP500_ending_price","SP500_gain_or_loss","SP500_percent_gain_or_loss","duke_wins","duke_win_percent","duke_conference_wins","duke_conference_win_percent","duke_ppg","duke_opponent_ppg","duke_pre_season_rank","duke_highest_rank","duke_final_rank"
"1",2018,-3.43395,0.9731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,0.784,13,0.722,84.4,69.6,1,1,9
"2",2017,-3.13915,0.9683,NA,NA,NA,NA,NA,NA,NA,19762.6,24719.22,4956.62,25.08,5383.12,6903.39,1520.27,28.24,2238.83,2673.61,434.78,19.42,28,0.757,11,0.611,80.8,70.2,1,1,7
"3",2016,-2.41986,0.9617,NA,NA,13.1,NA,NA,NA,NA,17425.03,19762.6,2337.57,13.42,5007.41,5383.12,375.71,7.5,2043.94,2238.83,194.89,9.54,25,0.694,11,0.611,81.1,72.5,5,5,19
"4",2015,-2.78065,0.9675,NA,NA,12.9,NA,NA,NA,NA,17823.07,17425.03,-398.04,-2.23,4736.05,5007.41,271.36,5.73,2058.9,2043.94,-14.96,-0.73,35,0.897,15,0.833,79.3,64.2,4,2,4
"5",2014,-4.07118,0.9712,NA,NA,12.5,NA,NA,NA,NA,16576.66,17823.07,1246.41,7.52,4176.59,4736.05,559.46,13.4,1848.36,2058.9,210.54,11.39,26,0.743,13,0.722,78.4,67.4,4,4,8
"6",2013,-6.72818,0.975,NA,NA,13,NA,NA,NA,NA,13104.14,16576.66,3472.52,26.5,3019.51,4176.59,1157.08,38.32,1426.19,1848.36,422.17,29.6,30,0.833,14,0.778,77.2,65.3,8,1,6
"7",2012,-8.37482,0.9495,NA,NA,13.2,NA,NA,NA,NA,12217.56,13104.14,886.58,7.26,2605.15,3019.51,414.36,15.91,1257.6,1426.19,168.59,13.41,27,0.794,13,0.813,77.3,68.6,6,3,8
"8",2011,-8.6497,0.9361,NA,NA,13.2,NA,NA,NA,NA,11577.51,12217.56,640.05,5.53,2652.87,2605.15,-47.72,-1.8,1257.64,1257.6,-0.04,0,32,0.865,13,0.813,80.9,64.7,1,1,3
"9",2010,-9.79758,0.9407,NA,NA,14,NA,NA,NA,NA,10428.05,11577.51,1149.46,11.02,2269.15,2652.87,383.72,16.91,1115.1,1257.64,142.54,12.78,35,0.875,13,0.813,77,61,9,3,3
"10",2009,-3.11547,0.8954,7.8,31,13.9,87,17.2,373,58.6,8776.39,10428.05,1651.66,18.82,1577.03,2269.15,692.12,43.89,903.25,1115.1,211.85,23.45,30,0.811,11,0.688,77.5,65.9,8,1,6
"11",2008,-1.10999,0.9454,7.9,29,14.2,80,19.1,388,69.9,13264.82,8776.39,-4488.43,-33.84,2652.28,1577.03,-1075.25,-40.54,1468.36,903.25,-565.11,-38.49,28,0.824,13,0.813,83.2,69.4,13,2,9
"12",2007,-1.79116,0.978,8.2,46,14.8,104,20.8,393,60.7,12463.15,13264.82,801.67,6.43,2415.29,2652.28,236.99,9.81,1418.3,1468.36,50.06,3.53,22,0.667,8,0.5,70.4,62,12,5,NA
"13",2006,-2.43129,0.9692,7.9,47,15.3,91,21.9,391,64.7,10717.5,12463.15,1745.65,16.29,2205.32,2415.29,209.97,9.52,1248.29,1418.3,170.01,13.62,32,0.889,14,0.875,81.1,68.1,1,1,1
"14",2005,-3.36236,0.9758,8.3,48,15.1,88,22.6,388,72.5,10783.01,10717.5,-65.51,-0.61,2175.44,2205.32,29.88,1.37,1211.92,1248.29,36.37,3,27,0.818,11,0.688,78.2,65.2,11,2,3
"15",2004,-3.2803,0.944,7.9,46,15.6,103,22.6,395,71.8,10453.92,10783.01,329.09,3.15,2003.37,2175.44,172.07,8.59,1111.92,1211.92,100,8.99,31,0.838,13,0.813,79.8,65,2,1,6
"16",2003,-1.4371,0.938,7.5,47,15.9,102,22,388,69.9,8341.63,10453.92,2112.29,25.32,1335.51,2003.37,667.86,50.01,879.82,1111.92,232.1,26.38,26,0.788,11,0.688,81.1,69.6,6,1,7
"17",2002,1.20729,0.8851,6.7,66,16.2,101,20.8,378,67,10021.5,8341.63,-1679.87,-16.76,1950.4,1335.51,-614.89,-31.53,1148.08,879.82,-268.26,-23.37,31,0.886,13,0.813,88.9,69.2,1,1,1
"18",2001,2.297,0.9215,6.5,44,15.8,111,19.6,387,73,10786.85,10021.5,-765.35,-7.1,2470.52,1950.4,-520.12,-21.05,1320.28,1148.08,-172.2,-13.04,35,0.897,13,0.813,90.7,70.5,2,1,1
"19",2000,1.30023,0.9373,6.1,50,16.1,88,20.6,421,84,11497.12,10786.85,-710.27,-6.18,4069.31,2470.52,-1598.79,-39.29,1469.25,1320.28,-148.97,-10.14,29,0.853,15,0.938,88,71.3,10,1,1
"20",1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,9181.43,11497.12,2315.69,25.22,2192.69,4069.31,1876.62,85.59,1229.23,1469.25,240.02,19.53,37,0.949,16,1,91.8,67.2,1,1,1
"21",1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,7908.25,9181.43,1273.18,16.1,1570.35,2192.69,622.34,39.63,970.43,1229.23,258.8,26.67,32,0.889,15,0.938,85.6,64.1,3,1,3
"22",1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,6448.27,7908.25,1459.98,22.64,1291.03,1570.35,279.32,21.64,740.74,970.43,229.69,31.01,24,0.727,12,0.75,79.7,66.2,10,6,8
"23",1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,5117.12,6448.27,1331.15,26.01,1052.13,1291.03,238.9,22.71,615.93,740.74,124.81,20.26,18,0.581,8,0.5,75.4,69.8,NA,12,NA
"24",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,3834.44,5117.12,1282.68,33.45,751.96,1052.13,300.17,39.92,459.27,615.93,156.66,34.11,13,0.419,2,0.125,77.7,73.7,8,6,NA
"25",1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,3754.09,3834.44,80.35,2.14,776.8,751.96,-24.84,-3.2,466.45,459.27,-7.18,-1.54,28,0.824,12,0.75,77.6,67.3,4,1,6
"26",1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,3301.11,3754.09,452.98,13.72,676.95,776.8,99.85,14.75,435.71,466.45,30.74,7.06,24,0.75,10,0.625,86.4,71.2,3,1,10
"27",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,3168.83,3301.11,132.28,4.17,586.34,676.95,90.61,15.45,417.09,435.71,18.62,4.46,34,0.944,14,0.875,88,72.6,1,1,1
"28",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,2633.66,3168.83,535.17,20.32,373.84,586.34,212.5,56.84,330.22,417.09,86.87,26.31,32,0.821,11,0.786,87.7,73.4,6,5,6
"29",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,2753.2,2633.66,-119.54,-4.34,454.82,373.84,-80.98,-17.8,353.4,330.22,-23.18,-6.56,29,0.763,9,0.643,89.1,76.6,10,3,15
"30",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,2168.57,2753.2,584.63,26.96,381.38,454.82,73.44,19.26,277.72,353.4,75.68,27.25,28,0.778,9,0.643,86.5,69.8,1,1,9
"31",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,1938.83,2168.57,229.74,11.85,330.47,381.38,50.91,15.41,247.08,277.72,30.64,12.4,28,0.8,9,0.643,83.8,68.8,15,4,5
"32",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,1895.95,1938.83,42.88,2.26,348.83,330.47,-18.36,-5.26,242.17,247.08,4.91,2.03,24,0.727,9,0.643,77.2,67.3,NA,12,17
"33",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,1546.67,1895.95,349.28,22.58,324.93,348.83,23.9,7.36,211.28,242.17,30.89,14.62,37,0.925,12,0.857,79.9,67.2,6,1,1
"34",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,1211.57,1546.67,335.1,27.66,247.35,324.93,77.58,31.36,167.24,211.28,44.04,26.33,23,0.742,8,0.571,78.9,67.9,6,2,10
"35",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,1258.64,1211.57,-47.07,-3.74,278.6,247.35,-31.25,-11.22,164.93,167.24,2.31,1.4,24,0.706,7,0.5,77.2,72.3,NA,14,14
"36",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,1046.55,1258.64,212.09,20.27,232.41,278.6,46.19,19.87,140.64,164.93,24.29,17.27,11,0.393,3,0.214,76.7,80.6,NA,NA,NA
"37",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,875,1046.55,171.55,19.61,195.84,232.41,36.57,18.67,122.55,140.64,18.09,14.76,10,0.37,4,0.286,64,70,NA,NA,NA
"38",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,963.98,875,-88.98,-9.23,202.34,195.84,-6.5,-3.21,135.76,122.55,-13.21,-9.73,17,0.567,6,0.429,69.9,66.9,NA,NA,NA
"39",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,838.74,963.98,125.24,14.93,151.14,202.34,51.2,33.88,107.94,135.76,27.82,25.77,24,0.727,7,0.5,73.3,68.3,3,1,14
"40",1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,805.01,838.74,33.73,4.19,117.98,151.14,33.16,28.11,96.73,107.94,11.21,11.59,22,0.733,9,0.75,71.9,65.5,1,1,11
"41",1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,831.17,805.01,-26.16,-3.15,105.05,117.98,12.93,12.31,95.1,96.73,1.63,1.71,27,0.794,8,0.667,85.6,74.4,NA,7,7
"42",1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,1004.65,831.17,-173.48,-17.27,97.88,105.05,7.17,7.33,107.46,95.1,-12.36,-11.5,14,0.519,2,0.167,76.4,72.9,NA,NA,NA
"43",1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,852.41,1004.65,152.24,17.86,77.62,97.88,20.26,26.1,90.19,107.46,19.15,19.15,13,0.481,3,0.25,88.3,85,NA,NA,NA
"44",1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,616.24,852.41,236.17,38.32,59.82,77.62,17.8,29.76,68.56,90.19,21.63,31.55,13,0.5,2,0.167,82.9,81.5,NA,NA,NA
"45",1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.385,2,0.167,75.3,77.6,NA,NA,NA
"46",1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0.462,4,0.333,78.1,76.9,NA,NA,NA
"47",1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0.538,6,0.5,68.5,68.2,NA,NA,NA
"48",1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.667,9,0.643,79.6,73.7,13,13,NA
"49",1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0.654,8,0.571,75.6,72.1,NA,16,NA
"50",1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0.536,8,0.571,82,79.4,17,9,NA
"51",1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0.786,11,0.786,79,67.5,NA,6,10
"52",1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0.667,9,0.75,82.8,76.1,4,4,NA
"53",1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,0.867,12,0.857,82.8,71.6,3,1,2
"54",1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.8,11,0.786,92.4,77.8,5,5,10
"55",1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,0.839,13,0.929,84.1,69.1,4,3,3
"56",1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,0.9,14,1,83.2,69,2,2,2
"57",1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.8,11,0.786,81.9,67.9,7,5,10
"58",1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0.786,10,0.714,81.5,71.2,NA,3,10
"59",1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0.607,7,0.5,64.3,63.2,NA,16,18
"60",1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0.52,7,0.5,65.3,69.1,NA,NA,NA
"61",1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0.72,11,0.786,69.2,65,NA,6,10
"62",1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0.542,8,0.571,78.4,77,NA,9,NA
"63",1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0.731,10,0.714,80.6,69.8,NA,6,17
"64",1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.714,11,0.786,85.2,72.8,NA,17,NA
"65",1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0.778,9,0.9,83.3,66.5,NA,8,15
"66",1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0.68,12,0.75,87.6,81.6,NA,18,NA
"67",1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,0.8,13,0.813,77.3,67.3,NA,12,12
"68",1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.606,13,0.684,71.4,70.2,NA,NA,NA
"69",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0.5,9,0.563,58.8,58,NA,NA,NA
"70",1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0.591,5,0.417,53.5,49.5,NA,NA,NA
"71",1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0.586,8,0.571,54.2,50.4,NA,NA,NA
"72",1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0.704,10,0.714,NA,NA,NA,NA,NA
"73",1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0.778,12,0.857,NA,NA,NA,NA,NA
"74",1945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0.591,6,0.857,NA,NA,NA,NA,NA
"75",1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0.5,4,0.667,NA,NA,NA,NA,NA
"76",1943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.769,12,0.923,NA,NA,NA,NA,NA
"77",1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0.917,15,0.938,NA,NA,NA,NA,NA
"78",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0.636,8,0.667,NA,NA,NA,NA,NA
"79",1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0.731,13,0.867,NA,NA,NA,NA,NA
"80",1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.455,8,0.5,NA,NA,NA,NA,NA
"81",1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0.625,9,0.643,NA,NA,NA,NA,NA
"82",1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0.652,11,0.647,NA,NA,NA,NA,NA
"83",1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.769,4,0.444,NA,NA,NA,NA,NA
"84",1935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0.692,10,0.714,NA,NA,NA,NA,NA
"85",1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0.75,9,0.692,NA,NA,NA,NA,NA
"86",1933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0.773,7,0.7,NA,NA,NA,NA,NA
"87",1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0.56,6,0.545,NA,NA,NA,NA,NA
"88",1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0.667,5,0.556,NA,NA,NA,NA,NA
"89",1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0.9,9,0.9,NA,NA,NA,NA,NA
"90",1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0.6,5,0.556,NA,NA,NA,NA,NA
"91",1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0.643,NA,NA,NA,NA,NA,NA,NA
"92",1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.286,NA,NA,NA,NA,NA,NA,NA
"93",1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.4,NA,NA,NA,NA,NA,NA,NA
"94",1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.308,NA,NA,NA,NA,NA,NA,NA
"95",1924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0.76,NA,NA,NA,NA,NA,NA,NA
"96",1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0.682,NA,NA,NA,NA,NA,NA,NA
"97",1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.333,NA,NA,NA,NA,NA,NA,NA
"98",1921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0.6,NA,NA,NA,NA,NA,NA,NA
"99",1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.714,NA,NA,NA,NA,NA,NA,NA
"100",1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.545,NA,NA,NA,NA,NA,NA,NA
"101",1918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.667,NA,NA,NA,NA,NA,NA,NA
"102",1917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.833,NA,NA,NA,NA,NA,NA,NA
"103",1916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0.45,NA,NA,NA,NA,NA,NA,NA
"104",1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.5,NA,NA,NA,NA,NA,NA,NA
"105",1914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0.571,NA,NA,NA,NA,NA,NA,NA
"106",1913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0.579,NA,NA,NA,NA,NA,NA,NA
"107",1912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.857,NA,NA,NA,NA,NA,NA,NA
"108",1911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.571,NA,NA,NA,NA,NA,NA,NA
"109",1910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.5,NA,NA,NA,NA,NA,NA,NA
"110",1909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.889,NA,NA,NA,NA,NA,NA,NA
"111",1908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.4,NA,NA,NA,NA,NA,NA,NA
"112",1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.667,NA,NA,NA,NA,NA,NA,NA
"113",1906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.4,NA,NA,NA,NA,NA,NA,NA
